"Age_1","Age_2","Age_3","Age_4","Age_5","Age_6","Age_7","Age_8","Age_9","NAA","Catch","Fmax","Index_1","Index_2","Catchability_1","Catchability_2","Rec_sigma","NAA_sigma","Rho_a","Rho_y","Convergence","AIC","OM","EM","Match","nsim"
1.08649060961775,1.07845638761757,1.08696543646423,1.08819931379783,1.09607973803867,1.10301108383242,1.1074302601181,1.18215679132782,1.25499597835385,1.12466187369381,1.00933092683966,0.903805420949318,1.47104400238515,1.32144890278036,0.781988877713111,0.965874450028437,1.26654373199541,0,0,0,1,-3418.06688243269,1,1,TRUE,1
1.08649062747938,1.07845640293866,1.08696544943083,1.08819932447423,1.09607974635876,1.10301109126383,1.10743029737077,1.18215682611988,1.25499600420335,1.12466189277004,1.00933092465712,0.903805420973543,1.47104403248174,1.32144892863254,0.781988877717869,0.965874450037581,1.26654373201139,0,0,0,1,-3418.06688196475,1,2,FALSE,1
1.08532885836735,1.07598376738813,1.08362143236298,1.0843793666209,1.0908389656893,1.09693038189025,1.10056025605424,1.17434380691168,1.24671357460189,1.11917144393992,0.999280033128551,0.899466167769192,1.2221232250824,1.17258012988741,0.653375669325559,0.861949803212417,1.26479970098772,0,0,0,1,-3418.788280326,1,3,FALSE,1
1.08532885976698,1.07598376858969,1.08362143338185,1.08437936746257,1.09083896634748,1.09693038247869,1.10056025888335,1.1743438095587,1.24671357658484,1.1191714454109,0.999280032964685,0.89946616776706,1.22212322701366,1.17258013165917,0.653375669328175,0.86194980321785,1.26479970097144,0,0,0,1,-3418.78828029372,1,4,FALSE,1
1.13184677507956,1.07796012904348,1.06654090255517,1.07807678743058,1.06654730765628,1.05693205031022,1.0916638007363,1.16020165594176,1.08274967072476,1.08508403804982,1.01278280073868,0.996401102063521,1.49062967935346,1.41789192945003,0.953196864682066,0.946573145444461,1.59890225642555,0,0,0,1,-3643.54016922965,1,1,TRUE,2
1.131846775088,1.07796012905148,1.06654090256279,1.07807678743821,1.06654730766375,1.05693205031752,1.09166380074346,1.16020165594873,1.0827496707276,1.08508403805669,1.01278280074197,0.996401102063513,1.4906296793595,1.41789192945486,0.953196864682074,0.946573145444468,1.59890225642555,0,0,0,1,-3643.54016922956,1,2,FALSE,2
1.13738328467224,1.07984764039931,1.06640402774322,1.07614832086661,1.06267042416659,1.05188348375565,1.08561199879582,1.15254758960665,1.0752658285311,1.08129741423312,1.00269224697891,0.99158901695322,1.23743418364118,1.25551447248139,0.795464294436348,0.847148371304571,1.60047681769288,0,0,0,1,-3644.54052491621,1,3,FALSE,2
1.13738328468564,1.07984764041387,1.06640402775817,1.07614832088253,1.06267042418266,1.05188348377143,1.08561199881204,1.15254758962276,1.07526582853528,1.08129741424734,1.00269224698378,0.991589016953208,1.23743418364476,1.25551447248519,0.795464294436406,0.847148371304625,1.60047681769286,0,0,0,1,-3644.54052491602,1,4,FALSE,2
1.09334186119595,1.08763757147405,1.07957063610161,1.06501805157266,1.07456004860626,1.04742995153152,1.07429332706856,1.05256214044188,1.04969842032537,1.06634626839024,1.00692263335865,0.954874798442627,1.42476884338469,1.34836879812772,1.20296073586465,1.00773665244907,1.19147019596827,0,0,0,1,-3094.008899112,1,1,TRUE,3
1.09334186119254,1.08763757147089,1.07957063609891,1.06501805157091,1.07456004860533,1.04742995153098,1.07429332706699,1.05256214043981,1.04969842032446,1.06634626838854,1.00692263335561,0.954874798442598,1.42476884337881,1.34836879812368,1.20296073586464,1.00773665244902,1.19147019596826,0,0,0,1,-3094.00889911222,1,2,FALSE,3
1.09491458395411,1.08795419732742,1.0788723484027,1.06311560718507,1.07163389742721,1.04410008988419,1.07054845733343,1.04902470554037,1.04532302726088,1.06382154129516,0.996918621850121,0.950065742210551,1.18445869146432,1.19462821432312,1.00333163457026,0.89806503196651,1.19065632186826,0,0,0,1,-3092.8386917896,1,3,FALSE,3
1.09491458394477,1.08795419731644,1.07887234839177,1.06311560717496,1.07163389741709,1.04410008987556,1.07054845732293,1.04902470552872,1.04532302725284,1.06382154128504,0.996918621839966,0.950065742210393,1.18445869145347,1.19462821430783,1.00333163457017,0.898065031966319,1.19065632186813,0,0,0,1,-3092.83869179019,1,4,FALSE,3
1.09510077277247,1.09366589728417,1.09007099205563,1.10097600092034,1.13146087363609,1.15282411759381,1.1659013164333,1.16929688733099,1.09774784567583,1.12524299136627,1.01174953715798,1.0137925946507,1.5102303805681,1.27261610461617,0.824899755647585,0.982446080371255,1.39830641840556,0,0,0,1,-3764.18720431489,1,1,TRUE,4
1.09510078025107,1.09366590464599,1.09007099930378,1.10097600811548,1.13146088084385,1.15282412456128,1.1659013232167,1.16929689382885,1.09774784793556,1.12524299780644,1.01174953920786,1.01379259465723,1.51023038469583,1.27261604057952,0.824899755650912,0.982446080406237,1.3983064184218,0,0,0,1,-3764.18720318061,1,2,FALSE,4
1.09581701578269,1.09277006197683,1.08746946822999,1.0975594438487,1.12681685359133,1.14715765429473,1.1596874223423,1.16246565090896,1.09085571471283,1.12059778373821,1.0017878133712,1.00917934251381,1.25007699770566,1.13016369171561,0.688810405629785,0.878333177679061,1.39678791051463,0,0,0,1,-3762.3048563534,1,3,FALSE,4
1.09581697275863,1.09277001962441,1.08746942650599,1.09755940243975,1.1268168121033,1.14715761427767,1.15968738336634,1.16246561359211,1.09085570182273,1.12059774671654,1.00178780159569,1.00917934239002,1.25007697789335,1.13016402057903,0.688810405575362,0.878333177267907,1.39678791052494,0,0,0,1,-3762.30486253522,1,4,FALSE,4
1.11155587723074,1.12183698851154,1.10339486314167,1.06269072117845,1.03787403086289,1.01370236140689,1.02459044459204,1.01670357392399,1.03976314555629,1.05256951614672,1.0158316743138,0.941215382241248,1.60704237789466,1.56183140222661,1.00732222993725,1.02533400214476,1.75412197748158,0,0,0,1,-3884.65454456675,1,1,TRUE,5
1.11155587716938,1.12183698845007,1.10339486308182,1.06269072112706,1.03787403080986,1.01370236135255,1.02459044453542,1.01670357278474,1.03976314515059,1.05256951591151,1.01583167426476,0.941215382241197,1.60704237785841,1.5618314021884,1.00732222993724,1.02533400214494,1.75412197748231,0,0,0,1,-3884.65454458545,1,2,FALSE,5
1.11388296078473,1.12332958924456,1.10296998730165,1.06210676963226,1.03588610051763,1.01081804321825,1.02124544115053,1.01383671103614,1.03610599085436,1.05078732911942,1.00578666414409,0.93653731300432,1.33000086529324,1.38400548396875,0.840137940635077,0.914041649371625,1.75538898408401,0,0,0,1,-3879.38091696276,1,3,FALSE,5
